City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
609,jackson,US,42.4165,-122.8345,22.93,57,0,2.06,clear sky
610,abalak,RU,58.1286,68.5944,7.86,57,100,1.57,overcast clouds
611,waddan,LY,29.1614,16.139,19.11,78,0,2.38,clear sky
612,aksehir,TR,38.3575,31.4164,10.48,80,68,2.59,broken clouds
613,novopetrovskoye,RU,55.9928,36.4719,5.77,98,91,1.97,overcast clouds
614,bereznik,RU,62.8551,42.7072,7.51,96,100,1.61,overcast clouds
615,borovskoy,KZ,53.8,64.15,10.32,25,100,4.8,overcast clouds
616,starobaltachevo,RU,56.0013,55.9213,8.86,65,100,5.56,light rain
617,carolina,PR,18.3808,-65.9574,28.31,83,40,0.0,haze
618,oussouye,SN,12.485,-16.5469,25.69,87,79,2.6,broken clouds
619,antofagasta,CL,-23.65,-70.4,13.6,59,0,4.92,clear sky
620,vazante,BR,-17.9869,-46.9078,23.04,71,94,0.64,overcast clouds
621,black river,JM,18.0264,-77.8487,25.76,87,36,2.38,scattered clouds
622,petropavlovskoye,RU,52.0712,84.107,8.53,53,100,6.35,overcast clouds
623,martinsburg,US,39.4562,-77.9639,14.75,87,2,1.58,clear sky
624,ancud,CL,-41.8697,-73.8203,7.44,83,59,3.06,broken clouds
625,frederikshavn,DK,57.4407,10.5366,12.02,83,48,9.47,scattered clouds
626,parana,AR,-31.732,-60.5238,18.03,68,100,4.58,light rain
627,manicore,BR,-5.8092,-61.3003,26.75,59,92,0.93,overcast clouds
628,muret,FR,43.3333,1.25,15.89,89,35,0.45,scattered clouds
629,kaman,IN,27.65,77.2667,26.07,74,50,3.67,scattered clouds
630,san pedro de macoris,DO,18.4616,-69.2972,26.07,90,46,3.18,scattered clouds
